100 MILE HOUSE, BC = 51.643970 -121.295010
CLARENDON STATION, ON = 44.873381 -76.697278
CLARENDON, NB = 45.436735 -66.638526
CLARENVILLE, NL = 48.168225 -53.964553
CLARESHOLM, AB = 50.019192 -113.583768
CLARKE CITY, QC = 50.199094 -66.630782
CLARKES BEACH, NL = 47.546909 -53.283522
CLARKS CORNER, NB = 45.945757 -66.133804
CLARKS HARBOUR, NS = 43.450706 -65.651214
CLARKSBURG, ON = 38.419840 -121.529403
CLARKVILLE, NB = 46.128282 -67.370868
CLAVET, SK = 51.996337 -106.377273
CLAYBANK, SK = 50.045582 -105.236888
CLAYDON, SK = 49.203383 -108.898146
CLAYHURST, BC = 56.188434 -120.031801
CLAYTON, ON = 37.941034 -121.935792
CLEAR CREEK, ON = 40.297944 -121.048572
CLEARDALE, AB = 56.353092 -119.476433
CLEARVIEW, NB = 46.582841 -67.717233
CLEARWATER BAY, ON = 49.707828 -94.823048
CLEARWATER RIVER, SK = 56.529167 -109.497222
CLEARWATER, BC = 51.651071 -120.038173
CLEARWATER, MB = 49.134269 -99.036260
CLEMENTSPORT, NS = 44.666644 -65.610768
CLEMENTSVALE, NS = 44.617800 -65.562962
CLERICY, QC = 48.365167 -78.866458
CLERMONT, QC = 47.691085 -70.220105
CLERVAL, QC = 48.739831 -79.452113
CLEVELAND, NS = 45.667974 -61.231787
CLEVELAND, QC = 45.666667 -72.083333
CLIFFORD, ON = 37.482264 -122.263472
CLIFTON ROYAL, NB = 45.450020 -66.002354
CLIFTON, NB = 47.732436 -65.383048
CLIFTON, NS = 45.329493 -63.447877
CLIMAX, SK = 49.208181 -108.389552
CLINTON, BC = 51.092699 -121.586531
CLINTON, ON = 43.617280 -81.539395
CLIVE, AB = 52.477835 -113.447552
CLORIDORME, QC = 49.174623 -64.915656
CLOUTIER, QC = 46.872117 -71.332635
CLOVA, QC = 48.109475 -75.360530
CLOVER HILL, NB = 45.571594 -65.584137
CLOVER VALLEY, NB = 45.310750 -65.881089
CLOVERDALE, NB = 46.300000 -67.366667
CLOVERDALE, NS = 45.179713 -63.212244
CLOYNE, ON = 44.817874 -77.185521
CLUNY, AB = 50.836047 -112.866848
CLYDE RIVER, NS = 43.632290 -65.477388
CLYDE RIVER, NU = 70.476365 -68.601265
CLYDE, AB = 54.148472 -113.635485
COACHMANS COVE, NL = 50.057939 -56.120858
COAL BRANCH, NB = 46.356224 -65.150038
COAL CREEK, NB = 46.099155 -65.881942
COAL HARBOUR, BC = 49.289084 -123.122500
COALDALE, AB = 49.727520 -112.617909
COALHURST, AB = 49.745727 -112.931928
COALMONT, BC = 49.507882 -120.693448
COATICOOK, QC = 45.133686 -71.803946
COATSWORTH STATION, ON = 42.168016 -82.356074
COBALT, ON = 47.395330 -79.686082
COBBLE HILL, BC = 48.688350 -123.603089
COBDEN, ON = 45.627352 -76.882361
COBOCONK, ON = 44.657784 -78.798565
COBOURG, ON = 46.024757 -64.117903
COBURG, NB = 46.330917 -64.612708
COCAGNE, NB = 46.330917 -64.612708
COCHENOUR, ON = 51.071425 -93.807250
COCHIN, SK = 53.080883 -108.341098
COCHRANE, AB = 51.190988 -114.467860
COCHRANE, ON = 49.065026 -81.029930
CODERRE, SK = 50.135202 -106.384093
CODETTE, SK = 53.278840 -104.028750
CODRINGTON, ON = 44.162716 -77.801340
CODROY, NL = 47.882072 -59.393560
CODYS, NB = 45.883333 -65.816667
COE HILL, ON = 44.855786 -77.835430
COLBORNE, ON = 44.005020 -77.888230
COLD LAKE, AB = 54.464317 -110.173147
COLDBROOK, NS = 45.058463 -64.592474
COLDSTREAM, BC = 50.224065 -119.168328
COLDSTREAM, NB = 46.340403 -67.464311
COLDSTREAM, NS = 45.069969 -63.314782
COLDWATER, ON = 37.598047 -118.995294
COLE BAY, SK = 55.099233 -108.323540
COLE HARBOUR, NS = 44.645815 -63.453445
COLEMAN, AB = 49.635058 -114.502592
COLEMAN, PE = 46.683280 -64.174200
COLES ISLAND QUEENS CO, NB = 45.918498 -65.789078
COLEVILLE, SK = 51.711321 -109.246106
COLEYS POINT SOUTH, NL = 47.579563 -53.267592
COLFAX, SK = 49.946598 -103.989446
COLGATE, SK = 49.395383 -103.894587
COLINET, NL = 47.224789 -53.552353
COLINTON, AB = 54.621634 -113.252523
COLLEGE HEIGHTS, AB = 52.489186 -113.732055
COLLETTE, NB = 46.782923 -65.446343
COLLIERS RIVERHEAD, NL = 47.467607 -53.221604
COLLINA, NB = 45.783333 -65.666667
COLLINGWOOD CORNER, NS = 45.616667 -63.933333
COLLINGWOOD, ON = 44.500769 -80.216905
COLLINS, ON = 39.342886 -121.335349
COLOMBIER, QC = 48.864458 -68.853792
COLONSAY, SK = 51.977012 -105.874460
COLPITTS SETTLEMENT, NB = 45.983361 -64.970227
COLVILLE LAKE, NT = 67.038639 -126.088107
COMBER, ON = 42.230538 -82.551955
COMBERMERE, ON = 45.362927 -77.618449
COME BY CHANCE, NL = 47.832757 -53.997710
COMFORT COVE-NEWSTEAD, NL = 49.404491 -54.860347
COMMANDA, ON = 45.951775 -79.606297
COMOX, BC = 49.673513 -124.928266
COMPEER, AB = 51.859303 -110.013108
COMPTON, QC = 45.220702 -71.800969
CONCEPTION BAY SOUTH, NL = 47.508318 -52.994060
CONCEPTION HARBOUR, NL = 47.441262 -53.219434
CONCHE, NL = 50.887011 -55.889605
CONCORD, ON = 37.977978 -122.031073
CONDOR, AB = 52.326439 -114.555254
CONESTOGO, ON = 43.541247 -80.504875
CONGRESS, SK = 49.756940 -106.025850
CONISTON, ON = 46.492976 -80.850903
CONKLIN, AB = 55.631388 -111.083884
CONN, ON = 33.677118 -117.651189
CONNAUGHT, ON = 45.146611 -75.211920
CONNE RIVER, NL = 47.863592 -55.756869
CONNELL, NB = 46.400000 -67.616667
CONQUERALL BANK, NS = 44.361202 -64.460075
CONQUERALL MILLS, NS = 44.308092 -64.525872
CONQUEST, SK = 51.529656 -107.243002
CONSECON, ON = 43.994717 -77.522356
CONSORT, AB = 52.009770 -110.775381
CONSTANCE LAKE, ON = 37.518479 -118.868055
CONSUL, SK = 49.295378 -109.520113
CONTRECOEUR, QC = 45.865410 -73.241283
COOKING LAKE, AB = 53.427793 -113.117998
COOKS BROOK, NS = 45.025116 -63.295840
COOKS HARBOUR, NL = 51.603383 -55.868936
COOKSHIRE-EATON, QC = 45.413097 -71.626287
COOKSTOWN, ON = 44.189418 -79.700740
COOKVILLE, NB = 45.897903 -64.368280
COOKVILLE, NS = 44.416667 -64.550000
COOMBS, BC = 49.305500 -124.428831
COPETOWN, ON = 43.244195 -80.056389
COPPER CLIFF, ON = 46.474828 -81.069183
COPPERSANDS, SK = 50.461088 -104.363099
COQUITLAM, BC = 49.283763 -122.793206
CORAL HARBOUR, NU = 64.138834 -83.169897
CORBEIL, ON = 46.261611 -79.291972
CORBYVILLE, ON = 44.220317 -77.388657
CORMAC, ON = 45.461779 -77.292025
CORMACK, NL = 49.305828 -57.388914
CORMAN PARK, SK = 52.253563 -106.942607
CORMIER-VILLAGE, NB = 46.171597 -64.352699
CORMORANT, MB = 54.224611 -100.601709
CORNER BROOK, NL = 48.948997 -57.950273
CORNHILL, NB = 45.910736 -65.345464
CORNING, SK = 49.959935 -102.972800
CORNWALL, ON = 45.021276 -74.730345
CORNWALL, PE = 46.229498 -63.216991
CORNWALLIS, NS = 44.651533 -65.630974
CORONACH, SK = 49.113643 -105.523090
CORONATION, AB = 52.093738 -111.445833
CORUNNA, ON = 42.884750 -82.450903
COTE SAINT-LUC, QC = 45.468050 -73.672946
COTEAU ROAD, NB = 47.835914 -64.557713
COTEAU-DU-LAC, QC = 45.291626 -74.174682
COTTAM, ON = 42.130822 -82.744737
COTTLESVILLE, NL = 49.502891 -54.849670
COTTRELLS COVE, NL = 49.491530 -55.281279
COULTER, MB = 49.089538 -100.984913
COUNTY OF GRANDE PRAIRIE NO. 1, AB = 55.266101 -119.246285
COURCELETTE, QC = 47.714588 -70.050081
COURCELLES, QC = 45.873781 -70.984089
COURTENAY, BC = 49.684139 -124.990449
COURTICE, ON = 43.910935 -78.788447
COURTLAND, ON = 38.331534 -121.570186
COURTRIGHT, ON = 37.101908 -118.973241
COURVAL, SK = 50.158471 -106.255211
COUTTS, AB = 49.002341 -111.964800
COW BAY, NS = 44.631514 -63.431960
COW HEAD, NL = 49.913642 -57.792579
COWAN, MB = 52.033829 -100.648014
COWANSVILLE, QC = 45.206293 -72.747141
COWESSESS, SK = 50.580275 -102.661497
COWICHAN BAY, BC = 48.737309 -123.621550
COWLEY, AB = 49.567682 -114.074235
COXHEATH, NS = 46.099910 -60.257560
COXS COVE, NL = 49.116498 -58.075726
CRABTREE, QC = 45.963160 -73.472635
CRAIG FLATS, NB = 46.758171 -67.636353
CRAIGMORE, NS = 45.766667 -61.466667
CRAIGMYLE, AB = 51.669536 -112.249143
CRAIK, SK = 51.052095 -105.822402
CRANBERRY PORTAGE, MB = 54.585867 -101.375898
CRANBROOK, BC = 49.512968 -115.769400
CRANDALL ROAD, NS = 45.682491 -61.323582
CRANDALL, MB = 50.149783 -100.782632
CRANE RIVER, MB = 51.535485 -99.279705
CRANE VALLEY, SK = 49.757151 -105.529355
CRANFORD, AB = 49.757889 -112.353026
CRAPAUD, PE = 46.239894 -63.500275
CRAVEN, SK = 50.708225 -104.809207
CRAWFORD BAY, BC = 49.681288 -116.824230
CREDITON, ON = 43.299028 -81.548031
CREELMAN, SK = 49.819452 -103.306926
CREEMORE, ON = 44.327238 -80.106186
CREIGHTON, SK = 54.753990 -101.898019
CREIGNISH, NS = 45.729950 -61.458859
CREMONA, AB = 51.545104 -114.490095
CRESCENT SPUR, BC = 53.583333 -120.683333
CRESCENT VALLEY, BC = 49.446340 -117.557790
CRESTON NORTH, NL = 47.153821 -55.194250
CRESTON, BC = 49.095540 -116.513508
CRESTON, NL = 47.151176 -55.184644
CROCKER HILL, NB = 45.190989 -67.255621
CROFTON, BC = 48.863844 -123.645798
CROMBIE SETTLEMENT, NB = 46.946898 -67.494605
CROMER, MB = 49.731352 -101.235194
CROOKED CREEK, AB = 55.166667 -117.866667
CROOKED RIVER, SK = 52.852874 -103.725021
CROQUE, NL = 51.058344 -55.827777
CROSS CREEK, NB = 46.308598 -66.718410
CROSS LAKE, MB = 54.712270 -97.613267
CROSS ROADS COUNTRY HARBOUR, NS = 45.277966 -61.884606
CROSSFIELD, AB = 51.430164 -114.031955
CROTON, ON = 44.344586 -64.404550
CROUSES SETTLEMENT, NS = 44.344586 -64.404550
CROUSETOWN, NS = 44.250000 -64.483333
CROWELL, NS = 43.540724 -65.606787
CROWES MILLS, NS = 45.404508 -63.364707
CRYSLER, ON = 33.910441 -117.560224
CRYSTAL BEACH, ON = 42.870456 -79.058898
CRYSTAL CITY, MB = 49.147459 -98.949553
CRYSTAL FALLS, ON = 38.020201 -120.271857
CRYSTAL SPRINGS, SK = 52.805559 -105.365799
CUDWORTH, SK = 52.489637 -105.735156
CULTUS LAKE, BC = 49.050278 -121.988314
CUMBERLAND BAY, NB = 46.036019 -65.866559
CUMBERLAND BEACH, ON = 44.702101 -79.390233
CUMBERLAND HOUSE, SK = 53.958266 -102.267444
CUMBERLAND, BC = 49.618806 -125.031269
CUMBERLAND, ON = 45.517134 -75.406029
CUMMINGS COVE, NB = 44.944687 -66.990135
CUPAR, SK = 50.946829 -104.211685
CUPIDS, NL = 47.549309 -53.224007
CURRAN, ON = 45.494226 -74.994688
CURRIE SIDING, NB = 46.767099 -67.607277
CURRIEBURG, NB = 46.302486 -66.818382
CURRYS CORNER, NS = 44.978295 -64.125778
CURRYVILLE, NB = 45.839232 -64.633512
CURVE LAKE, ON = 44.457376 -78.370291
CURVENTON, NB = 47.048734 -65.830499
CUT KNIFE, SK = 52.747843 -109.020609
CUTLER, ON = 36.523283 -119.286782
CYMRIC, SK = 51.241261 -104.984428
CYNTHIA, AB = 53.280164 -115.418544
CYPRESS COUNTY, AB = 50.324020 -110.706581
CYPRESS RIVER, MB = 49.556216 -99.090882
CZAR, AB = 52.453201 -110.825457
D'ALEMBERT, QC = 48.362112 -79.016465
D'ARCY STATION, SK = 51.465814 -108.540235
D'ARCY, BC = 50.553902 -122.478883
D'ESCOUSSE, NS = 45.587651 -60.958815
DACOTAH, MB = 49.875509 -97.641185
DACRE, ON = 45.371510 -76.965055
DAFOE, SK = 51.752304 -104.521546
DAKOTA TIPI, MB = 49.945491 -98.350043
DALEM LAKE, NS = 46.256349 -60.405107
DALEMEAD, AB = 50.874340 -113.638076
DALHOUSIE JUNCTION, NB = 48.044324 -66.496615
DALHOUSIE, NB = 48.065775 -66.373113
DALHOUSIE, QC = 48.066030 -66.375548
DALKEITH, ON = 45.445898 -74.572169
DALLAS, MB = 51.387373 97.494984
DALMAS, QC = 48.827237 -71.912830
DALMENY, SK = 52.341240 -106.771640
DAMASCUS, NB = 45.461940 -65.803108
DANBURY, SK = 52.056372 -102.242051
DANESVILLE, NS = 44.200000 -64.616667
DANFORD LAKE, QC = 45.916667 -76.233333
DANIELS HARBOUR, NL = 50.238188 -57.588028
DANVILLE, QC = 45.784995 -72.014506
DAPP, AB = 54.350000 -113.916667
DARFIELD, BC = 51.182478 -120.123711
DARLINGFORD, MB = 49.205029 -98.377664
DARLINGS ISLAND, NB = 45.481030 -65.897600
DARTMOUTH, NS = 44.665206 -63.567743
DARWELL, AB = 53.670251 -114.589913
DASHWOOD, ON = 43.346885 -81.635446
DAUPHIN, MB = 51.150037 -100.049700
DAUVERSIERE, NB = 47.761280 -65.861455
DAVELUYVILLE, QC = 46.205032 -72.136671
DAVIDSON, QC = 45.870599 -76.751952
DAVIDSON, SK = 51.262855 -105.989034
DAVIN, SK = 50.383806 -104.113924
DAWSON CREEK, BC = 55.759627 -120.237662
DAWSON SETTLEMENT, NB = 45.950000 -64.750000
DAWSON, YT = 64.060070 -139.432035
DAWSONS LANDING, BC = 51.576084 -127.591085
DAWSONVILLE, NB = 47.930652 -66.893196
DAYSLAND, AB = 52.865508 -112.261635
DAYSPRING, NS = 44.376849 -64.480382
DE WINTON, AB = 50.822605 -114.013295
DEAD CREEK, NB = 45.870519 -67.514234
DEAD MAN'S FLATS, AB = 51.039681 -115.264451
DEADMANS BAY, NL = 49.350132 -53.690239
DEADWOOD, AB = 56.740963 -117.458219
DEASE LAKE, BC = 58.437410 -129.999378
DEBDEN, SK = 53.524761 -106.881082
DEBEC, NB = 46.068623 -67.691675
DEBERT, NS = 45.437722 -63.458302
DEBOLT, AB = 55.214790 -118.026119
DECKER, MB = 50.269913 -100.782076
DEEP BAY, NL = 49.671342 -54.290953
DEEP BROOK, NS = 44.636268 -65.655714
DEEP RIVER, ON = 46.097663 -77.493340
DEER LAKE, NL = 49.173168 -57.433873
DEER LAKE, ON = 52.641041 -94.076879
DEER VALLEY, SK = 50.596200 -104.884821
DEERSDALE, NB = 46.553738 -66.136408
DEERVILLE, NB = 46.300000 -67.666667
DEGELIS, QC = 47.535981 -68.587548
DEL BONITA, AB = 49.029467 -112.789320
DELACOUR, AB = 51.154303 -113.771210
DELAWARE, ON = 42.909233 -81.420090
DELBURNE, AB = 52.197629 -113.234232
DELEAGE, QC = 46.376217 -75.918151
DELEAU, MB = 49.580905 -100.575504
DELHI, ON = 37.432159 -120.778535
DELIA, AB = 51.632028 -112.374048
DELINE, NT = 65.188851 -123.422752
DELISLE, SK = 51.923770 -107.134836
DELMAS, SK = 52.929416 -108.595663
DELORAINE, MB = 49.192882 -100.493984
DELSON, QC = 45.371616 -73.542653
DELTA, BC = 49.095215 -123.026476
DELTA, ON = 32.731756 -117.203896
DEMAINE, SK = 50.892454 -107.255034
DEMMITT, AB = 55.450000 -119.900000
DEMORESTVILLE, ON = 44.091114 -77.210275
DENARE BEACH, SK = 54.660937 -102.079907
DENBIGH, ON = 45.139784 -77.274719
DENFIELD, ON = 43.126956 -81.431790
DENHOLM, QC = 45.842742 -75.818054
DENHOLM, SK = 52.658406 -108.010522
DENMAN ISLAND, BC = 49.562971 -124.798101
DENNIS BEACH, NB = 45.631374 -64.851455
DENNY ISLAND, BC = 52.116060 -127.994515
DENSMORES MILLS, NS = 45.303794 -63.703516
DENWOOD, AB = 52.833070 -110.850470
DENZIL, SK = 52.227976 -109.650429
DERBY JUNCTION, NB = 46.954043 -65.598330
DERBY, NB = 46.887771 -65.655961
DEROCHE, BC = 49.188179 -122.072985
DERWENT, AB = 53.654719 -110.966881
DESBARATS, ON = 46.344506 -83.922436
DESBIENS, QC = 48.417732 -71.948961
DESBORO, ON = 44.398240 -80.990091
DESCHAILLONS-SUR-SAINT-LAURENT, QC = 46.557260 -72.113216
DESCHAMBAULT LAKE, SK = 54.909683 -103.377774
DESCHAMBAULT, QC = 46.650640 -71.929556
DESERONTO, ON = 44.195399 -77.048733
DESERT BLUME, AB = 49.987040 -110.721006
DESMARAISVILLE, QC = 49.500000 -76.183333
DESMELOIZES, QC = 48.950000 -79.483333
DESTOR, QC = 48.459327 -78.953541
DESTRUCTION BAY, YT = 61.252471 -138.800831
DEUX RIVIERES, ON = 46.252071 -78.286605
DEUX-MONTAGNES, QC = 45.541805 -73.893211
DEVLIN, ON = 43.649786 -79.359872
DEVON, AB = 53.361383 -113.726358
DEWBERRY, AB = 53.586167 -110.524018
DEWDNEY, BC = 49.164808 -122.196549
DEWITTVILLE, QC = 45.117543 -74.085615
DEWOLFE, NB = 45.194165 -67.275562
DIAMOND CITY, AB = 49.797815 -112.846476
DIDSBURY, AB = 51.660836 -114.136516
DIEPPE, NB = 46.095276 -64.748664
DIGBY, NS = 44.621529 -65.757553
DIGDEGUASH, NB = 45.181500 -66.961726
DILDO, NL = 47.570620 -53.555566
DILIGENT RIVER, NS = 45.412662 -64.459563
DILKE, SK = 50.865876 -105.254233
DILLON, SK = 55.929294 -108.928447
DINGWALL, NS = 46.898633 -60.470566
DINORWIC, ON = 49.693670 -92.494754
DINSMORE, SK = 51.331833 -107.446792
DIPPER HARBOUR, NB = 45.095784 -66.431047
DISRAELI, QC = 45.904693 -71.359874
DIVIDE, NB = 46.548697 -67.341999
DIXONVILLE, AB = 56.537736 -117.671415
DIXVILLE, QC = 45.067150 -71.769846
DOAKTOWN, NB = 46.546987 -66.155876
DOBBINTON, ON = 44.390494 -81.133947
DOBIE, ON = 48.135251 -79.816192
DOBSON CORNER, NB = 46.048181 -65.227045
DODSLAND, SK = 51.799528 -108.835033
DOG CREEK, BC = 51.581613 -122.237828
DOLBEAU-MISTASSINI, QC = 48.881683 -72.232114
DOLLARD, SK = 49.614115 -108.583415
DOLLARD-DES-ORMEAUX, QC = 45.489564 -73.820557
DOMAIN, MB = 49.613462 -97.321958
DOME CREEK, BC = 53.750223 -121.034561
DOMINION CITY, MB = 49.141929 -97.155422
DOMINION, NS = 46.210242 -60.025197
DOMREMY, SK = 52.788728 -105.731384
DONALDA, AB = 52.584697 -112.576033
DONEGAL, NB = 45.712700 -65.267700
DONKIN, NS = 46.181542 -59.874638
DONNACONA, QC = 46.675566 -71.734894
DONNELLY, AB = 55.727275 -117.104853
DORCHESTER CAPE, NB = 45.866667 -64.533333
DORCHESTER, NB = 45.900828 -64.516947
DORCHESTER, ON = 42.985215 -81.049127
DORINTOSH, SK = 54.354458 -108.627878
DORION, ON = 48.811581 -88.636467
DOROTHY, AB = 51.280207 -112.323651
DORRINGTON HILL, NB = 45.926753 -67.439874
DORSET, ON = 45.244430 -78.893944
DORVAL, QC = 45.450321 -73.750049
DOSQUET, QC = 46.467081 -71.528961
DOUGLAS HARBOUR, NB = 45.919489 -66.100067
DOUGLAS LAKE, BC = 50.166632 -120.217676
DOUGLAS, MB = 49.892770 -99.710703
DOUGLAS, NB = 46.313604 -66.990110
DOUGLAS, ON = 40.651802 -122.943820
DOURO, ON = 44.376100 -78.192388
DOVER CENTRE, ON = 42.489783 -82.317860
DOVER, NL = 48.868630 -53.970412
DOW SETTLEMENT, NB = 45.950002 -67.478628
DOWLING, ON = 38.544521 -121.742337
DOYLES BROOK, NB = 46.833118 -65.752728
DOYLES, NL = 47.830614 -59.191306
DRAKE, SK = 51.745892 -105.012615
DRAYTON VALLEY, AB = 53.221407 -114.976678
DRAYTON, ON = 43.755065 -80.671354
DRESDEN, ON = 42.589561 -82.183314
DRIFTPILE, AB = 55.333333 -115.766667
DRIFTWOOD, ON = 33.538578 -117.781115
DRINKWATER, SK = 50.295276 -105.135495
DROPMORE, MB = 51.017396 -101.445147
DRUMBO, ON = 43.236909 -80.552149
DRUMHELLER, AB = 51.465185 -112.710534
DRUMMOND, NB = 47.036023 -67.683411
DRUMMONDVILLE, QC = 45.880291 -72.484282
DRURYS COVE, NB = 45.683989 -65.556653
DRYDEN, ON = 49.780094 -92.836959
DSL DE DRUMMOND, NB = 47.042078 -67.603753
DSL DE GRAND-SAULT/FALLS, NB = 47.073005 -67.679912
DUART, ON = 39.466215 -0.365862
DUBEE SETTLEMENT, NB = 45.924677 -65.481810
DUBLIN, ON = 37.702152 -121.935792
DUBREUILVILLE, ON = 48.348505 -84.550825
DUBUC, SK = 50.684393 -102.474186
DUCHESS, AB = 50.731232 -111.906006
DUCK BAY, MB = 52.175721 -100.149615
DUCK LAKE, SK = 52.811855 -106.226027
DUCLOS, QC = 46.814705 -71.221329
DUFF, SK = 50.873567 -103.091549
DUFFERIN CHARLOTTE CO, NB = 45.178162 -67.212966
DUFFERIN QUEENS CO, NB = 46.142978 -65.836346
DUFFIELD, AB = 53.525131 -114.345607
DUFRESNE, MB = 49.727889 -96.723278
DUFROST, MB = 49.354079 -97.051763
DUGALD, MB = 49.885934 -96.842837
DUGAS, NB = 47.804633 -65.112800
DUGUAYVILLE, NB = 47.601487 -65.070490
DUHAMEL, QC = 46.049186 -75.161590
DUHAMEL-OUEST, QC = 47.375851 -79.447111
DUMFRIES, NB = 45.882092 -67.232134
DUMMER, SK = 49.843232 -104.836286
DUNCAN, BC = 48.778691 -123.707942
DUNCANS COVE, NS = 44.500653 -63.531232
DUNCHURCH, ON = 45.650098 -79.850694
DUNDALK, ON = 44.167665 -80.393568
DUNDAS, NB = 46.332632 -64.638796
DUNDAS, ON = 43.266509 -79.956868
DUNDEE, NB = 47.997220 -66.496228
DUNDURN, SK = 51.809592 -106.507627
DUNGANNON, ON = 43.854443 -81.599614
DUNHAM, QC = 45.134691 -72.799976
DUNLOP, NB = 47.687349 -65.733773
DUNMORE, AB = 49.968225 -110.586995
DUNNVILLE, ON = 42.903537 -79.617004
DUNREA, MB = 49.406193 -99.732229
DUNROBIN, ON = 45.422257 -76.020319
DUNSFORD, ON = 44.451531 -78.642288
DUNSINANE, NB = 45.824212 -65.349834
DUNSTER, BC = 53.119815 -119.827689
DUNTARA, NL = 48.597054 -53.368934
DUNTROON, ON = 44.397801 -80.194629
DUNVEGAN, ON = 43.134167 -80.761847
DUNVILLE, NL = 47.268576 -53.885991
DUPARQUET, QC = 48.502940 -79.228512
DUPEROW, SK = 51.973623 -108.240906
DUPUY, QC = 48.852946 -79.356637
DURBAN, MB = 51.929700 -101.440284
DURHAM BRIDGE, NB = 46.134563 -66.613346
DURHAM, ON = 43.936838 -78.928824
DURHAM-SUD, QC = 45.660350 -72.340038
DURRELL, NL = 49.658034 -54.733192
DUTCH BROOK, NS = 46.066298 -60.201170
DUTCH SETTLEMENT, NS = 44.990732 -63.441620
DUTCH VALLEY, NB = 45.700312 -65.464767
DUTTON, ON = 33.926728 -117.417753
DUVAL, SK = 51.155787 -104.991371
DWIGHT, ON = 37.864077 -122.266581
DYSART, SK = 50.944934 -104.036855
EABAMET LAKE, ON = 51.555877 -87.986541
EAGLE BAY, BC = 50.932532 -119.213676
EAGLE CREEK, BC = 51.864516 -120.866204
EAGLE LAKE, ON = 49.721117 -93.105853
EAGLE RIDGE, SK = 52.163701 -106.484816
EAGLE RIVER, ON = 49.793921 -93.195351
EAGLESHAM, AB = 55.782235 -117.880650
EAR FALLS, ON = 50.755839 -93.356520
EARL GREY, SK = 50.936162 -104.711311
EARLTON, ON = 47.711020 -79.823786
EAST ANGUS, QC = 45.482689 -71.659962
EAST BACCARO, NS = 43.466196 -65.468614
EAST BAY, NS = 46.012183 -60.384330
EAST BRAINTREE, MB = 49.619444 -95.623333
EAST BRANCH, NB = 46.543714 -64.890931
EAST BRIGHTON, NB = 46.266211 -67.436719
EAST BROUGHTON STATION, QC = 46.229400 -71.081493
EAST BROUGHTON, QC = 46.221132 -71.079953
EAST CENTREVILLE, NB = 46.449164 -67.674870
EAST CLIFFORD, NS = 44.433333 -64.733333
EAST COLDSTREAM, NB = 46.407709 -67.444702
EAST COULEE, AB = 51.336301 -112.489524
EAST DOVER, NS = 44.501437 -63.859764
EAST FARNHAM, QC = 45.238372 -72.773857
EAST GORE, NS = 45.116279 -63.683294
EAST GWILLIMBURY, ON = 44.101064 -79.441781
EAST HEREFORD, QC = 45.069474 -71.529972
EAST LAHAVE, NS = 44.316667 -64.366667
EAST LAWRENCETOWN, NS = 44.660938 -63.335401
EAST MOUNTAIN, NS = 45.430861 -63.168346
EAST NEWBRIDGE, NB = 46.144724 -67.431927
EAST PENNANT, NS = 44.466471 -63.630461
EAST PRESTON, NS = 44.724454 -63.430223
EAST SELKIRK, MB = 50.139584 -96.839193
EAST ST PAUL, MB = 49.980797 -97.029456
EAST STEWIACKE, NS = 45.154117 -63.270215
EAST YORK, ON = 43.691201 -79.341664
EASTEND, SK = 49.514043 -108.819966
EASTERN PASSAGE, NS = 44.616443 -63.474881
EASTERVILLE, MB = 53.107500 -99.812778
EASTMAIN, QC = 52.233724 -78.517759
EASTMAN, QC = 45.301296 -72.315042
EASTPORT, NL = 48.651764 -53.757846
EATONIA, SK = 51.222923 -109.390661
EBB AND FLOW, MB = 51.026045 -99.038867
EBENEZER, SK = 51.370695 -102.447089
ECHO BAY, ON = 46.484992 -84.070056
ECKVILLE, AB = 52.363303 -114.366494
ECONOMY, NS = 45.384720 -63.914424
EDAM, SK = 53.187787 -108.766837
EDBERG, AB = 52.785519 -112.786240
EDDIES COVE WEST, NL = 50.750000 -57.166667
EDDIES COVE, NL = 51.412990 -56.447060
EDDYSTONE, MB = 51.090151 -99.149071
EDEN MILLS, ON = 43.578503 -80.147003
EDEN, MB = 50.376510 -99.469780
EDEN, ON = 37.643109 -122.114986
EDENWOLD, SK = 50.634696 -104.252998
EDGELEY, SK = 50.637851 -103.993024
EDGERTON, AB = 52.760072 -110.458472
EDGETTS LANDING, NB = 45.900000 -64.633333
EDGEWATER, BC = 50.699509 -116.131963
EDGEWOOD, BC = 49.782931 -118.141641
EDMONTON, AB = 53.544389 -113.490927
EDMUNDSTON, NB = 47.369013 -68.326674
EDSON, AB = 53.585509 -116.442861
EDWARDS, ON = 34.924031 -117.891209
EDWARDSVILLE, NS = 46.166213 -60.234139
EDWIN, MB = 49.889273 -98.514516
EEL GROUND, NB = 46.967816 -65.633845
EEL RIVER BAR FIRST NATION, NB = 48.034421 -66.374422
EEL RIVER COVE, NB = 48.012672 -66.378882
EEL RIVER CROSSING, NB = 48.015963 -66.422096
EEL RIVER LAKE, NB = 45.834263 -67.648777
EGAN, QC = 46.794165 -71.232190
EGANVILLE, ON = 45.539935 -77.101079
EGBERT, ON = 44.233676 -79.760915
EGMONDVILLE, ON = 43.537288 -81.407044
EGMONT, BC = 49.750000 -123.933333
EGREMONT, AB = 54.036297 -113.125829
ELBOW, SK = 51.120315 -106.596903
ELDERBANK, NS = 44.980274 -63.216328
ELDORADO, ON = 38.742638 -120.435763
ELFROS, SK = 51.743724 -103.862311
ELGIN, MB = 49.443833 -100.269094
ELGIN, NB = 45.797091 -65.109066
ELGIN, ON = 42.664587 -80.987107
ELGIN, QC = 45.014871 -74.230884
ELGINBURG, ON = 44.319038 -76.541454
